Date,Price,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM,DEXCHUS
2020-02-18,2.6085,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1429613003759882
2020-02-19,2.6105,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1429081814933905
2020-02-20,2.5925,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1423994304022784
2020-02-21,2.6125,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1423386235855099
2020-02-24,2.5815,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1422758444071365
2020-02-25,2.5805,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1425963951631302
2020-02-26,2.5735,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1424217392542797
2020-02-27,2.5715,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1427837112342224
2020-02-28,2.54,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1430492375475638
2020-03-02,2.595,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.143688483368058
2020-03-03,2.573,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1437215251728251
2020-03-04,2.586,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1444168447807752
2020-03-05,2.573,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1441628463512383
2020-03-06,2.5605,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1443043089266645
2020-03-09,2.5105,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.143992627577468
2020-03-10,2.5215,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1437835195329911
2020-03-11,2.502,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.143688483368058
2020-03-12,2.4725,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1422839418343245
2020-03-13,2.464,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1426961001155838
2020-03-16,2.3925,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1430349148227082
2020-03-17,2.3135,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1427959445951735
2020-03-18,2.151,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1419265104528875
2020-03-19,2.1855,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1407301077992625
2020-03-20,2.1715,3.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1409443269908386
